文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-05-31,28年了，韩国最大丑闻，终于被搬上银幕,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505883&idx=2&sn=06b21d842c41a511955988ecc1d2fef8&chksm=8b9e0359bce98a4f8f27e6681f7fb8cf851185bdb70e866c1e417746fda717458e6d1498e938&scene=27#wechat_redirect,「健康产品」也会杀人,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr4kKmeBhnSmcibgDz6wicskzNKicj1bE81K1ODJ8icoTVLJTFiaicVVoRtTchKN8Wp0FhpUjITkTu8pkG2g/0?wx_fmt=jpeg,,是,2,否,,,0,0,0,0
2022-05-31,因为「毒教材」，他被全网骂，我忍不了,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505883&idx=1&sn=e071fee3f4fc3da67d710912d22de215&chksm=8b9e0359bce98a4f6cc7670307cc80f1f372ab086c6c218afb4f777521f0bd551c3ecde96137&scene=27#wechat_redirect,「丑」的真不是他！,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr4kKmeBhnSmcibgDz6wicskzNMS4EFQEHcgQLPd1NSjDZIJQFdZeme64QPxW6ibriah9WI5l9vEnygMqA/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-05-30,因为颜值洗白他，是娱乐圈最大的悲哀,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505691&idx=2&sn=bc4f810c7ccf382d9a1b5270459b908b&chksm=8b9e0099bce9898ffe7eecd5cc0d411b919ed4553ecbe8d4d127950eb3b732148574e2f1d0de&scene=27#wechat_redirect,罪犯竟变顶流，娱乐圈早该完了,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr5ibYUYMX5icdmhVOnbTumqyTX9A0StrwoxJHNTOW4WpdtY0kzUZgr6wGYzUsSRF0OQXQkJf2njrOlg/0?wx_fmt=jpeg,,是,2,否,,,0,0,0,0
2022-05-30,拜托，别把国剧倒退，吹成文艺复兴,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505691&idx=1&sn=4f782e7f5ad38036854c08559fc3641f&chksm=8b9e0099bce9898fa94dae22a296ded0d503a448356c0fba7192af929538644a7fe53f538e4c&scene=27#wechat_redirect,别再忽悠观众了,马香玉,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr5ibYUYMX5icdmhVOnbTumqyTliaicsSppribf0blQFkpnDARYPelialR1Z1aq59CaiaOc0JDOB3icWtcpw5w/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-05-29,8.7分，这么敢拍，不愧是港剧良心,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505264&idx=2&sn=307d5457304b4d0afd0c83ae10f6fda1&chksm=8b9e1ef2bce997e410344ae2ae6668792aba3ea95b18077c5020bd0d16191307d3f85981872a&scene=27#wechat_redirect,7年前的港剧，神预言,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr7tScc7j5NmERLl1Fy8VOp0rTYnibJUlrBTv793oZEMT4s2POkwHRMF54Re2TPFYpJiaCZ6fwFnrbKw/0?wx_fmt=jpeg,,是,2,否,,,0,0,0,0
2022-05-29,她火出国门，给了内娱一记耳光,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505264&idx=1&sn=ecb8c90170784cbf5be10fa313f7e9e9&chksm=8b9e1ef2bce997e488f182c4456267cf7ed109e093aa0015c2ed58371e5d36b820a7a72c3503&scene=27#wechat_redirect,华人女星，炸翻影坛,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr7tScc7j5NmERLl1Fy8VOp0yuACIKIYZ8sjV0URsquicLASX261Kd1iaZaicLKUlQ2aLgvGR13gsXLQw/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-05-28,豆瓣9.2，锁定年度前三，别被卖肉骗了,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505176&idx=2&sn=65355918703175be1497deba1238671a&chksm=8b9e1e9abce9978c0545d032f87e6140219b24ff94874764fd5cc98b386778d6f59db109a051&scene=27#wechat_redirect,豆瓣9.2，提前锁定年度最佳,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr49mVgTYt826BqLXc3KbulcbibAoN6Fx0EBzd510bq1iaEDU24B8qicQTbXW6P9SOHEZWdSEFVBQkj1Q/0?wx_fmt=jpeg,,是,2,否,,,0,0,0,0
2022-05-28,等了三年，网飞第一IP终于回来了,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505176&idx=1&sn=a5d4092727ed880465ce309cc10f795f&chksm=8b9e1e9abce9978cda8b61327596f4a11a64140e54048fae205b1dcd2a2107cb4a79ddc179eb&scene=27#wechat_redirect,为这「史上最佳」，通宵也值,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr49mVgTYt826BqLXc3KbulcOAbyuibm22JiavzNIAnFL8scBHUxn6ndC3HXLPHSuxJMEqSdFF7qPlgA/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-05-27,我严重怀疑，这岛国新片抄了微博热搜,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505018&idx=2&sn=54adeb06007e803cdf4d1650b458895a&chksm=8b9e1ff8bce996ee83d18caa2d406cf4de379acd2ecc8c8b269b833909df618aa85574fcba8d&scene=27#wechat_redirect,岛国新片，戳破养老焦虑,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr4dx6aXA53AZPSWdJBkYNCyySKL5pOzaicFs3ibqeB3VnMlaTAxxicS3z95cibk8jnqyhzPBWib7UD9I8Q/0?wx_fmt=jpeg,,是,2,否,,,0,0,0,0
2022-05-27,内娱在倒退，TVB却炸出一部豆瓣9.8,http://mp.weixin.qq.com/s?__biz=MzA5MDM1MTcyNQ==&mid=2657505018&idx=1&sn=29442ece87fab5cd5b02dbfbd42fe166&chksm=8b9e1ff8bce996eebaaff0caab2a1111c137606306ebabe57535f0e129e0ca393505580c06d9&scene=27#wechat_redirect,一集9.8，年度最强国综没跑了,鱼叔,http://mmbiz.qpic.cn/mmbiz_jpg/qIbgTlV4hr4dx6aXA53AZPSWdJBkYNCyHFGwLiafdcQ3owrSeok6Kiblj09l37wvAc38Rzv3u9LWPZn1QkpPquyw/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
