文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,阅读数,在看数,点赞数,留言数
2022-04-23,四十岁的样子,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788213&idx=1&sn=dd0b84e5f401b0ff72669c5f8c9dcd63&chksm=bd469e3a8a31172cb1cb6ee880b6b491fe63b810221863d1675e5dd78dba32d42ad4ba2339e7&scene=27#wechat_redirect,首先，补一张昨天《&lt;万物&gt;读后》禅定时刻的照片。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkrr4NlB5kic5Piam4JhiacnxnibupgjP636pCcmQSI0xg3UPTXuQBClZMZ7q7MICtvQzHriarM1Pka6rVQ/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-22,《万物》读后,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788206&idx=1&sn=4e46b8d1ff21758159e2b37e297b6977&chksm=bd469e218a31173763d487fc6a8999c39fc8172afa84675e9d0b41e0ac577c7554ac47c05e5a&scene=27#wechat_redirect,《万物》是他人在酒后指定我阅读的一本书，说是必须通读一遍，又说三天怎么也能读完了，最后补充说看完就知道应该如何教孩子写汉字。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkpPMqPOCTOypBxZmWHMza5CnRh8gZpXgnU6S9n4cMkV98dlFicDicoBf75Mhib5zFwXeHPHmLLLdsUPA/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-21,“什么都没说的”事故调查报告,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788199&idx=1&sn=2c7cebdb3adcdbc6f37fdaf66a675b17&chksm=bd469e288a31173e7120c32d32a980724d04450a1f9e1e856a1df842d334e2ec77918c0b73b0&scene=27#wechat_redirect,昨天，民航总局航安办公布了《3·21”东航MU5735飞行事故调查初步报告的情况通报》。很多人看了觉得很失望，表示“听君一席话，如听一席话”，或者“说了跟什么都没说一样”。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkpPMqPOCTOypBxZmWHMza5CvlY9ficZ6jLoXPesTjMEWnxRfZ8EiaQxGnZQSRKGblfFX5LRZN7iawFSA/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-20,十年前的朋友圈,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788192&idx=1&sn=bbd5d11b80782ba726f58fc8308660de&chksm=bd469e2f8a311739e5bd2cec3b1bbd84541e62a1884f415e055edda958dd4a0ce494b24ecf60&scene=27#wechat_redirect,网上的群体行为大多是个谜，比如说昨天毫无征兆开始的《晒晒我十年前的朋友圈》活动。我后来查了一下，原来，4月19日是朋友圈上线10周年。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkpekibhZNrxuUcNQ4cTPFJMrj2Z6OdlicshZNX7Kc7v8URaQ0JLaVE0ibudp3AffnCvMyFyyVKiaVz6XQ/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-19,背转身去,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788183&idx=1&sn=569178bbab86e0b635abc1653da26979&chksm=bd469e188a31170e07dab75fbb9b15ff4a0f6f16bb94f43c5bfa45dbc87ba0b127801eca6529&scene=27#wechat_redirect,社交媒体上应该没有站队这件事情。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkpekibhZNrxuUcNQ4cTPFJMrEAKeq13fnUpy3fpkHW9jDH8PREYXUqlL3frdSFAbyquA4TQzeCToAA/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-19,顺着说，逆着说,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788176&idx=1&sn=c1bf692cac21d00badc633ff18c6806b&chksm=bd469e1f8a31170982a64e21cd1a95b087d0ab3b70c43c135fd0c3c51fbb2111879d5b2cb62f&scene=27#wechat_redirect,别人找你倾诉，你得顺着对方说，这应该算是一个常识。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkpekibhZNrxuUcNQ4cTPFJMrBiclHVUIibka1ibC38BfIY2iao1aCkXURO1icpOlkxae467uhylYqQ86LvA/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-18,岁月静好,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788170&idx=1&sn=67a6455613e28101d70cf55336f98086&chksm=bd469e058a311713ddf304410b3548857c5f7e8e844649f0e146f3ad00ebf8e31f0c129894b2&scene=27#wechat_redirect,有人批评我不问世事，天天写些岁月静好的文字，不复当年的毒辣剽悍。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkqvFOBjM9OIYjKfD9H6LuKNVW0XGicL25NJ6xpicGWzaheq2NVlEWQYs4iaPzc8o3WKScuSXs6dIliaYQ/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-17,提醒一声：你睡得太晚了,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788164&idx=1&sn=6ffad39b747ebba22c1305768c825df7&chksm=bd469e0b8a31171d523184a074e5192620d9ee426f63eddb0bf72ca28db50d6661c45da58d04&scene=27#wechat_redirect,不知道是不是都这样，最近我每天早上起来，观察后台留言、朋友圈和群消息，发现许多人凌晨四五点都还没睡，还在发送各种疫情相关消息。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkquf5fI8ib5h48mETelmqMy1yL6lIFeiaelj8RuiajicV2NOsjWVOxxjEniaELPjLxXjHMV6GfyEIAHWcQ/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-16,独自莫凭栏,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788158&idx=1&sn=a7e717f57ade14b916f3a947f4dd6f94&chksm=bd469e718a3117675d155362d5d2e4252746b579adb2c9d72de2b778f686587c626e8cb61a8b&scene=27#wechat_redirect,昨晚崔健的线上演唱会有4600万人次观看，我在朋友圈写下一句话：没事，我不是来看朋友圈崔健刷屏的，我就是来看看有多少老家伙的。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkqoRQrZR5g0M9DGAhyxmxaekkr34rgt08QgiawYBdBDc9LETobFltZaJsmNVTcw33QKpJ3OPmO4mGA/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
2022-04-15,知识的自由市场,http://mp.weixin.qq.com/s?__biz=MjM5MjAzODU2MA==&mid=2652788151&idx=1&sn=c5fd76755245b2ccb4f55272ddf4e2d3&chksm=bd469e788a31176e53aa787a20429366dcec4da9d57418575d21740867eb19ca41f0872777bf&scene=27#wechat_redirect,拥有非黑即白的二元对立思想的人，在网络上有个非常形象的名字叫做“二极管”。,和菜头,http://mmbiz.qpic.cn/mmbiz_jpg/Ia6gU9JNtkqoRQrZR5g0M9DGAhyxmxaezNZdQp3HfnsDztKWIDJ6SecvVwbhPv5ibWepbMpcImYoY8G2lwb3ShQ/0?wx_fmt=jpeg,,是,1,否,0,0,0,0
