文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-05-20,中文大约的确已经死了,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655987121&idx=1&sn=13dd388baa8f6235a8bd2040cf611532&chksm=84b16b84b3c6e292f4778467c4a9be612aea150cfb90116a4f2f070309e11c48bfc2a6f784c4&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXNWI1Riafsuuamc0zXsrJy8t7IrqTFefKjC0XibPhjDlvicn4JfH2nahjqZibJL06HLZm34ym6IiaCclaQ/0?wx_fmt=jpeg,,否,1,否,,,0,0,0,0
2022-05-13,突然就怀念起21世纪的前十年,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655987055&idx=1&sn=74e3d6cfe5e75c696228a9ddd1c25fba&chksm=84b16b5ab3c6e24c23ee4d03ab7ab9c7c2652eebf1bfc237b9d9bc25680246142367ab3b53c8&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXOqBwHfoNm02zdf0FI0Xttz0BNOOiaS5XyDu2PdlUp4kcXpTNyQ9tstDTfLYbBPF6yJgdn2jmH3Dhw/0?wx_fmt=jpeg,,否,1,否,,,0,0,0,0
2022-05-09,“法”和“天”这两个字挺难写的,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655987039&idx=1&sn=2e80f92c290e2c9a911635cad9c6908f&chksm=84b16b6ab3c6e27c54cf682470558c97a753069a831fcfb4bc6a4d129eb6b839cb002f2bdc0a&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXPT98cjr1u2qIdsMmtLw0OpzUJib4RVWbZ3m8dK0zAmG3Knwgsiab7D7wxlM6ErEnwpJQRaX2bdvuhQ/0?wx_fmt=jpeg,,否,1,否,,,0,0,0,0
2022-05-04,年轻真是世上为数不多的好东西,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655987035&idx=1&sn=2cb7aa61839854e6a0875cffe121a9b6&chksm=84b16b6eb3c6e27874cb166c5e0d4238e26b91c6a2c880ce714141020fc08d4322a47e740456&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXNlo9dwq7ZiaMfdcbC2iaJ8fdibunrO1jAn3I7NgbrXPqLiczm5tic9LVMYercHlNicqLj36yxibeibqsORuQ/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-04-28,感觉发现了李白一个不得了的秘密,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655986721&idx=1&sn=e8eb633139bec45632f39c2eadcc0c5c&chksm=84b16a14b3c6e302b4625f9ae09fffdf8954fd7cee812b719a5237725d7b31924bcca757ead3&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXO7bZVVdT67kcGx6ibo6lzavBZpxjGdQlCxSvaqaKBsCJtTUN61HUqkLSwtib6fmO0jfgZA7wnaBfQw/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-04-24,过去的一个月，我在上海演了二十部电影,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655986669&idx=1&sn=405b80606057d8cb071082055a506679&chksm=84b16dd8b3c6e4cea17eedb5654fae29f74f6e0efa8877e4a0c6717f9987a18f8415118ce47d&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXNn3icQFwrkbpnB1pcO14dd1HstAhlRDUdnEvxGxlv6G61JF5VfklUFkXlzbmgRqNjHSgJOW5ibzPww/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-04-23,今晚，被Shanghai的不是一段声波,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655986627&idx=1&sn=da4871734d961e9019023a66a79cb160&chksm=84b16df6b3c6e4e00d363c077df691a3eb21cdc936390136c9a344f586dc1843b771986f7a08&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXMge1IwEibMB2jjpD8sFNyAjmQoxJhuibv7f3licUX9c0ucRvzqsEfE4MicmCORlnwq17Lb2SCfoWNpLA/0?wx_fmt=jpeg,,否,1,否,,,0,0,0,0
2022-04-12,《上海团长》剧本疑似流出,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655986403&idx=1&sn=8bdd552c499d8772809e2f730ac31cc5&chksm=84b16cd6b3c6e5c04f715663cf7fcce64f4f27eff429137a8ef689ea996b315313b47700be16&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXO6Ec4GUEwfgict7cy5ddLhkA8Yqb8pUuZQXAwR8c2evt5UtSvbVtVbL50qcm1mhWIGKeG0MXBuRicQ/0?wx_fmt=jpeg,,是,1,否,,,0,0,0,0
2022-04-04,写了两个字，送给上海,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655986379&idx=1&sn=61a66f49a73c94c0c851e56d3663407e&chksm=84b16cfeb3c6e5e8f5f6e30df98ebcd63c86db3a15395d87cac6b9adb312c5a4cc4ee873b329&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXMAv2xrFL3c7r89W7Aiambko7ugNQ1VC07Tey5SRC8E380uv08268MDyibffbezJia5PxkzvwJOQbpqQ/0?wx_fmt=jpeg,,否,1,否,,,0,0,0,0
2022-03-30,四个字总结上海疫情生活,http://mp.weixin.qq.com/s?__biz=MzA3MzcxMDQyNg==&mid=2655986373&idx=1&sn=84e5392ff2d8074d881ee16d73aec3b8&chksm=84b16cf0b3c6e5e6d312657d1bfac51adecf2368662dca51018435c678da96142f5ef57ecae2&scene=27#wechat_redirect,,王左中右,http://mmbiz.qpic.cn/sz_mmbiz_jpg/YoI3mLaSKXMy8wLpeUBiaFYJPib53dXj193b8HDAqEy9p2a2iaIhmHQtLZwpMYeg1fdibia85wOjsOsG4T0uA7IPx9g/0?wx_fmt=jpeg,,否,1,否,,,0,0,0,0
