文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-05-20,踏空趋势，怎么办,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860718&idx=1&sn=363f24ae1c4570688c55ac0d3914b536&chksm=80b9ef15b7ce66031444751a944cb36b363209ec6456e4c3e8a63eb8c21f04efe32a96c706f3&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,18
2022-05-19,第二次超预期,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860714&idx=1&sn=8df956305509553bcebdf19d77fa0b9b&chksm=80b9ef11b7ce6607bf5094ccc871494b5999fc52ce1ca8b0806a4d8b2937d4b8733549464ffe&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,10
2022-05-18,要不要推倒重来？,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860702&idx=1&sn=0a60d01a5c0c02e32053329ca49f34b2&chksm=80b9ef25b7ce6633f7a2861218b694e25c9a2bb0f1d9db49ae5ba6180c12a1dee633e86585fc&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,16
2022-05-17,反弹逻辑出现变化,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860696&idx=1&sn=205d25df6e7272bca47d5a1c3d10a5f8&chksm=80b9ef23b7ce6635c94bed91ac5815cfb91d3b74deb405ed26d3c16617523a42c77fae645063&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,14
2022-05-16,科创板的变化契机,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860689&idx=1&sn=3831f14990c8bf3ef18a299c0c0671b0&chksm=80b9ef2ab7ce663c768fe0f808499645aba02ea8dbc54d57c4c1fb1b420166134a4a6d7daa66&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,12
2022-05-15,周复盘：出了个利好,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860682&idx=1&sn=0e471d55c1aa436475481d00132c54b9&chksm=80b9ef31b7ce6627a19e0c61a2f944a8c084c6592bbf43d900a5ef67f4740e7654fee7bc02ad&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea0HQw9OaORDoEtnNynicuibvJkvD7n5sYU5SicSrMNnLV1xyyBRib14ciaZ8icDbfYNmdO2zYKpnEv3CK2Q/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,7
2022-05-13,趋势拉高，是卖点,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860671&idx=1&sn=e76bbf54737f9c7a52b391a887e828ef&chksm=80b9efc4b7ce66d2ee4f1b71d078774e3d801c159a58825742d737065fafb79784c1db193f0f&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,13
2022-05-12,把卡位演绎到极致,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860664&idx=1&sn=eee625846dcd4d02a5ff410df7bb0ab0&chksm=80b9efc3b7ce66d566a567244eb974df50c3b786f0b230449fc3d2bb87d3b948e036e324e12c&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,18
2022-05-11,尾盘跳水怎么看,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860651&idx=1&sn=cf5505b5ebab6d07884ecc801e8f726e&chksm=80b9efd0b7ce66c6cfc646e1fd67aae5757347d525f851ecc8765aa89a05e7c570b337f94ebd&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,16
2022-05-10,A股终于逆势了一把,http://mp.weixin.qq.com/s?__biz=MzAxMDYxNDQ4NA==&mid=2650860644&idx=1&sn=dc012b53c5da27d8e6ed8a2131481b10&chksm=80b9efdfb7ce66c9b16706ee101c7a8e269015371c6c4f350bc4cda3e6cb7bae9fac7416b633&scene=27#wechat_redirect,,复盘哥团队,http://mmbiz.qpic.cn/mmbiz_jpg/fIODdKKyea1yEjtJ5SdqFJf5oX8TfKVQuLuTy9HkjvFFHspWxUt9ZbfAIs5fm3LFgYA3Koz03c7LhFmfoFA6Zw/0?wx_fmt=jpeg,,是,1,否,中国,北京,0,0,0,9
