文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,文章发布国家,文章发布省份,阅读数,在看数,点赞数,留言数
2022-05-30,北宋末年，有个作恶多端的小人物叫杜公才，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222251&idx=1&sn=92499b39b38c104b73a2c90b7681a7d5&chksm=f0eee490c7996d86f92691eaeb1f4ee8b9a742a541a85fb69f85d718f4818718e57272c60c28&scene=27#wechat_redirect,驱梁山泊百姓为盗的元凶之一。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K7icIzYt5iaIcXvd2Ic4Ey7qkM3nW79Wd9797pjibWb9sUYclumaYlWPwvBTm0qicUWEdGicRg68Hd1UJA/0?wx_fmt=jpeg,https://view.inews.qq.com/a/JIQ2020060800628300,是,1,否,中国,北京,12930,116,192,49
2022-05-27,土耳其反对瑞典与芬兰加入北约的历史原因，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222238&idx=1&sn=d2e11ee6b7f890ddfe4b712ecf28e873&chksm=f0eee4a5c7996db3e223202405885625cd4a424fb51b1ab92b2cc155ae6a7cf215aa9d1969a5&scene=27#wechat_redirect,一个特别的北约成员国。,昝涛,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K7pVuyCrgdqIf63Gr8xm4ic86pbFzpZQ99uFl1VKFqWMRAkgicsYNqgJ6x3Via3xG5qBI8iaVSO1ExkpQ/0?wx_fmt=jpeg,https://view.inews.qq.com/a/JIQ2020060800628300,否,1,否,中国,北京,12922,88,114,30
2022-05-25,元朝不禁菜刀，没有「十户人家共用一把菜刀」这种事，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222226&idx=1&sn=68456d6119a51686d1bba80a836d2331&chksm=f0eee4a9c7996dbf2b1315b625bc8c6e5c4d06dfd321effc937bf9412a0c1383e13e20b8ff79&scene=27#wechat_redirect,用史料来证伪。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K5QJicDkod440qHRE8P88wSdIkrVdkicNpeib8Gewpj5A5bBUQmf7XKJCy7e4DicNxicnKOblGOhTQfk2Q/0?wx_fmt=jpeg,https://view.inews.qq.com/a/JIQ2020060800628300,是,1,否,中国,北京,18788,171,255,47
2022-05-23,拜托，别再给古人脑补大智慧了，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222205&idx=1&sn=740c8332bf5bbead56a4eb5790f2946a&chksm=f0eee446c7996d50547f2067c63ccb77e784c602f29a24ab720ff7d324945eb0e958ec7a965a&scene=27#wechat_redirect,油腻文化的一隅。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K4VW7icb0OHvO1doKkkH5ajV7ibxJJLkHQWSfY1x4vJzss4cPqrfQdFdsKdGfKJtORrFGVZUNkht3zw/0?wx_fmt=jpeg,https://view.inews.qq.com/a/JIQ2020060800628300,是,1,否,中国,北京,42595,614,740,90
2022-05-20,宋仁宗强行向百姓「借钱」，然后赖账不还，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222195&idx=1&sn=700c3a23f15258b9f4aedb24eccb8c08&chksm=f0eee448c7996d5ef8c30de81e9056ad81eef7a899af295a12dbeb7ebba6bce5f2f10de02f37&scene=27#wechat_redirect,富户在北宋。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K4DjGEFBbhufGbcy5EwGRfiagveBLWozlyM1ppctNia3sr8FmG6Wo1GqWwYUwbXRRiako47jOicDelm9w/0?wx_fmt=jpeg,https://view.inews.qq.com/a/JIQ2020060800628300,是,1,否,中国,北京,12980,111,178,39
2022-05-18,记录清军大屠杀的《扬州十日记》是伪书吗？，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222183&idx=1&sn=efc5895bea5a2da812d5d3a39d8f573c&chksm=f0eee45cc7996d4ab6097c3da9ac7b0e764c9c552762ace6eff94fbee9dff5e52514f29b4ec4&scene=27#wechat_redirect,历史会被尘埋，但不会消失。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K5mdbnRj42u8IdJZyXibqXr3HoZoXL5j8fwyNgLC6JwelyTsN9icvDGOGp4Yhs82Ghibz310t2L9hVRQ/0?wx_fmt=jpeg,,是,1,否,中国,北京,25157,311,515,65
2022-05-16,明朝的财政制度极其混乱，相比宋朝是个大退步，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222165&idx=1&sn=6e7984b9d82d6f2878add881f17b95ad&chksm=f0eee46ec7996d78cd8f4695b43f51071ab99040ce996d8abab11bee71e8212d5190330b94a3&scene=27#wechat_redirect,官僚体系是如何败坏的。,杨照,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K4ialUueaajWr4Z1u29An9048lo32vGVUxx2hmDKIJA4U3FmZJakVrAibTLtu1esSkG4QUKiaHMg2Qyg/0?wx_fmt=jpeg,https://view.inews.qq.com/a/JIQ2020060800628300,否,1,否,中国,北京,16289,129,194,40
2022-05-13,甲午战争前，大清发起了一场荒唐的「报效运动」，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222156&idx=1&sn=4bf8ba39b9914f6f84af5b588f93c6b4&chksm=f0eee477c7996d61af603dd278933e0e6fc3f2a2d9d941af3bc805f31dd37c54d5b5dc3038d2&scene=27#wechat_redirect,“恳求天恩”的故事。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K7sibhKqKhonpcbD3gqmGbUpgwiaXoqD862VxicO9xMF2uCESL8MF6RZdxaBNMib5zbayrIiaFbUEdOUwg/0?wx_fmt=jpeg,,是,1,否,中国,北京,25815,230,308,37
2022-05-11,三国时代确有情报机关，但它们只对内不对外，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222143&idx=1&sn=2c1cc0a59dd1f8669b25f6c81fba018b&chksm=f0eee404c7996d127bd3db43b64c08149d0d614937e55f2c39eff75ac67cc91e3c0d3a7fc407&scene=27#wechat_redirect,从电视剧《风起陇西》说起。,言九林,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K7LkQzNICz65u50HnvIYPh0f4icAcia07xY1821l8QOYLklsEBM4oznWGhiaEhicKoIwwibxicAdOheiaxPA/0?wx_fmt=jpeg,,是,1,否,中国,北京,14774,138,193,38
2022-05-09,「没有钱」不是明朝灭亡的主因，短史记,http://mp.weixin.qq.com/s?__biz=MzIzNTAyODMwOA==&mid=2650222130&idx=1&sn=f58d6041c47d2037a88a63f064ddd56e&chksm=f0eee409c7996d1fc93e504e333d6ac389248f8baa37e863d078440486c7a4db4ac638879e0c&scene=27#wechat_redirect,真正能打的可能只有几千人。,侯杨方,http://mmbiz.qpic.cn/mmbiz_jpg/ibYIE3gDV7K4oicib1POBGiaHAtuzqffDl7ySIwCKFImiav97CqcXbDPtu7fay7Sz6Yqe7kjVrP6YrGTXFW41CAhQDw/0?wx_fmt=jpeg,,否,1,否,中国,北京,24234,209,264,37
