文章日期,文章标题,文章链接,评论昵称,评论内容,评论点赞数,留言回复,留言时间,国家,省份
2022-05-27,只用牛腱子肉做的鲜牛肉干，入味劲道，越嚼越香,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=2&sn=36827d6d9f3b54912f94d1c58b988368&chksm=bd7d80b78a0a09a143d29aabf99e0575c1a4af79184c98ab9e58b78e044e359b5e97f4f5bf61&scene=27#wechat_redirect,云流,昨晚煲剧，一个晚上把一包干完，还陪了两听进口啤酒，剧看完、酒、肉也干完，两行泪也干完。[得意],9,,2022-05-27 08:01:01,中国,广东
2022-05-27,大师绘本， 诠释儿童心灵成长6大主题,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=5&sn=15c2ec42627fe6da5eaa0b0805b040a2&chksm=bd7d80b78a0a09a1a6775a38aed6ca16eb45c4210c6108921821190096d27d06ebb1e45bbd30&scene=27#wechat_redirect,Sylvia,叔，这套书适合的年龄段是多大啊？,0,3-7岁的孩子。,2022-05-27 08:08:54,中国,北京
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,沉默是金,很感谢大家，其实当时回老家的时候我是同批总成绩第一名，包括后来进总行竞选也是第一名，容易受环境影响所以估计暂时不能接受躺平的自己，但是还是非常感恩一切的，工作也勤勤恳恳。感谢大家，感谢连叔！,451,,2022-05-27 09:04:50,中国,河南
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,豫南秋水,连岳老师早安！这个姑娘真是运气太好还不珍惜。我一个50岁的老阿姨，90年代初的中专生，后来自学到研究生学历，一辈子没有提拔，还在单位做着最基层的工作，而且我比很多年轻人认真，踏实，我给孩子树立了好榜样。我的观点是，一个普通人，做好本职工作，照顾好生我的，养育好我生的，就是对国家做贡献。[愉快][愉快],1459,,2022-05-27 08:02:13,中国,河南
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,诚无,这属于精神空虚 ，一天天的净刷短视频了，短视频严重影响专注力，降低忍耐度阀门.,615,,2022-05-27 07:56:58,中国,河南
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,Rach,连叔，想请问您一件事。我姐姐今年30岁，父母都很着急她的婚嫁问题，希望她今年能够结婚，这几年也给她介绍了好几个男生，但姐姐好像特别抗拒跟别人交往。作为妹妹也很着急，一方面很想要她找到一个归宿，父母可以不用太担心，另一方面又觉得自己不应该干涉她的生活，因此自己也很苦恼，我该怎么做才好？,77,男朋友都没有，怎么给人定今年结婚的任务呢？要关心，但不要如此强制。,2022-05-27 07:52:49,中国,广东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,曼,银行总行行政部，几乎没有失业危机，所以题主才可以这么肆无忌惮地不思进取，把没关系网就没进步空间当成躺平的借口，内心又隐隐过意不去，假借人生迷茫向连叔救助，这何止是矫情，更是让脚踏实地拼尽全力生活的大众唾弃的凡尔赛，人生太顺而不知珍惜，现在不感恩，不成长，当人生困境出现时，将毫无悬念被打败，醒醒吧姑娘，情商低、文笔差，办公软件，都可以学起来，很有用的！,379,,2022-05-27 08:02:46,中国,福建
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,果果桃子,我和她经历相同，我还是转升本的，目前在小县城当公务员，老公是同行，儿女双全，住房是老公的，我因为是外地人的原因，虽然在这里十多年了，总是觉得难以融入。但是我很感恩，读书时有父亲掌舵帮我规划，工作时有师傅带我让我现在也保持着学习的激情胜任自己的工作岗位，当然也遇到了一位好丈夫及他的家人，最后一双可爱的儿女也让我人生欢愉（虽然随着他们长大，一做作业就鸡飞狗跳，各种情绪爆发，但是快乐还是占大多数的）！所以学会感恩，知足，惜福，好运将不请自来[微笑],273,,2022-05-27 08:00:31,中国,四川
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,DpY。,社会对你这么好，你一篇来信就写了5次躺平，我读完就记得这两个字了，真是抱歉[汗],237,,2022-05-27 08:02:04,中国,北京
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,Lisa,跟我们这些低层打工的人来说，这个社会对你太好了。我们大学毕业工作二十年还只是职员啊[流泪]，所以好好珍惜你现在的一切吧！,201,,2022-05-27 07:58:40,中国,福建
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,王茹,同在银行机关上班。要知道多少基层银行人想进机关，都进不了。你才上班半年，就达到了对于别人来说，可能是奋斗一辈子才有可能达到的目标，的确应该感到珍惜。其实如果你认为机关晋升无望，又不想就此躺平，完全可以跟领导申请下网点锻炼。,185,,2022-05-27 08:08:07,中国,湖北
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,小蜡笔,题主现在是找不到工作的激情了？失去了生活目标，换句话说就是太安逸了，一切太过顺利，太轻松就获得别人梦寐以求的岗位，但是这个岗位似乎工作内容太轻松，正值30正式想奋斗的年龄，大量精力无法消耗导致胡思乱想，开始没事怨恨两句，其实当你结婚以后生了孩子，你就会觉得这个岗位太好了，可以在熬夜喂奶的每个晚上有一个缓冲的工作，说白了就是白天不用这么累，假如你是在其他忙碌部门你可能就会说晚上孩子折腾你，白天工作消耗你。为什么我不在清闲的总行行政呢？你现在需要做的就是多看书，多读书去充实自己,183,,2022-05-27 08:01:25,中国,浙江
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,风,说得真好[强][强]现在周边太多这样的人了，社会对他这么好，他却充满抱怨[捂脸][捂脸][捂脸],175,,2022-05-27 07:56:27,中国,浙江
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,波澜不惊,确实如此，以怨报德，太身在福中不知福了。,123,,2022-05-27 07:56:28,中国,山东
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,周,同是银行人，理解你的苦闷。但你能去总行，不像支行以绩效来考核收入已经非常幸运了。总行收入稳定，能接触的人多一些，如果想往部门经理升职，必须研究清楚部门经理岗位的能力需求，在金融行业，即使你有关系，必须有过硬的业务能力才能上升，一切绩效说了算。有句话送给你，不管白猫黑猫，捉到老鼠就是好猫。你还年轻，多多努力，有机会的。,114,,2022-05-27 08:13:57,中国,贵州
2022-05-27,如何建立好的关系网？,http://mp.weixin.qq.com/s?__biz=MjM5NDU0Mjk2MQ==&mid=2651784361&idx=1&sn=5c1096693dd56150c3b3afa9b3977e29&chksm=bd7d80b78a0a09a1a00366d0c07b760ae2aba860f0d35f95e3da2d17063bb58747eb5ba274ac&scene=27#wechat_redirect,橙子🤩乐天派,"姑娘，你还是不敢真正躺平，要不然也不会写这样的信，你只不过是眼睛暂时被迷惑了而已！你想把一切前途推到关系网，只不过是给自己找了一个理由不去拼搏罢了！
本人没学历，没有家庭背景，但现在有车有房，有一个温暖和谐的家庭，感慨老天爷对自己的偏爱，感谢生命中出现的贵人，特别是在连叔熏陶下，自己在一点一点的进步，而我希望自己再努力一点，以配得上这些福报！不至于辜负贵人的帮助和提携！",110,,2022-05-27 08:08:56,中国,上海
